1542985911,2020781.813
1542989460,2017484.785
1542993060,2029475.816
1542996660,2034340.427
1543000260,2065006.656
1543003860,2060617.699
1543007460,2049520.769
1543011060,2057917.411
1543014660,2076650.276
1543018260,2074086.416
1543021860,2054731.874
1543025460,2066872.892
1543029060,2067005.072
1543032660,2056004.668
1543036260,2050288.105
1543039860,2068311.859
1543043460,2035549.269
1543047060,2064311.856
1543050660,2071243.786
1543054260,2081312.520
1543057860,2075867.903
1543061460,2075960.070
1543065060,2074018.066
1543068660,2052160.787
1543072260,2071031.118
1543075860,2091458.835
1543079460,2066093.889
1543083060,2079444.710
1543086660,2087941.973
1543090260,2068505.228
1543093860,2063588.950
1543097460,2066807.604
1543101060,2084564.876
1543104660,2070352.630
1543108260,2087194.306
1543111860,2069345.908
1543115460,2059369.620
1543119060,2065629.553
1543122660,2086529.531
1543126260,2074760.935
1543129860,2065139.989
1543133460,2056408.134
1543137060,2075732.780
1543140660,1991664.606
1543144260,2047777.944
1543147860,2079435.442
1543151460,2082961.284
1543155060,2069958.848
