time,value
1542901912,15.79
1542905460,15.78
1542909060,15.78
1542912660,15.78
1542916260,15.78
1542919860,15.78
1542923460,15.78
1542927060,15.78
1542930660,15.78
1542934260,15.78
1542937860,15.78
1542941460,15.78
1542945060,15.79
1542948660,15.78
1542952260,15.78
1542955860,15.78
1542959460,15.88
1542963060,15.88
1542966660,15.78
1542970260,15.78
1542973860,15.78
1542977460,15.78
1542981060,15.78
1542984660,15.78
1542988260,15.78
1542991860,15.78
1542995460,15.78
1542999060,15.78
1543002660,15.78
1543006260,15.80
1543009860,15.78
1543013460,15.78
1543017060,15.78
1543020660,15.78
1543024260,15.94
1543027860,15.78
1543031460,15.78
1543035061,15.78
1543038660,15.78
1543042260,15.78
1543045860,15.78
1543049460,15.78
1543053060,15.78
1543056660,15.78
1543060260,15.78
1543063860,15.78
1543067460,15.78
1543071060,15.78
