time,value
1542957567,38.360
1542961141,36.320
1542964741,38.080
1542968340,38.500
1542971941,38.940
1542975541,38.930
1542979141,37.980
1542982740,39.660
1542986340,37.940
1542989940,39.670
1542993540,37.810
1542997140,38.180
1543000741,39.470
1543004341,37.960
1543007941,37.930
1543011541,38.690
1543015140,36.860
1543018740,37.680
1543022341,7.450
1543025940,38.450
1543029540,36.650
1543033140,36.230
1543036740,39.400
1543040340,37.440
1543043941,37.200
1543047540,35.930
1543051141,39.960
1543054740,38.730
1543058340,39.400
1543061940,37.490
1543065540,38.490
1543069140,38.540
1543072740,39.710
1543076340,39.230
1543079940,38.650
1543083540,39.440
1543087140,39.690
1543090741,38.700
1543094340,38.420
1543097940,38.440
1543101541,39.460
1543105140,38.740
1543108740,39.200
1543112340,38.270
1543115940,38.510
1543119540,38.420
1543123141,38.480
1543126741,37.900
