time,value
1542983355,16.21
1542986940,16.23
1542990540,16.27
1542994140,16.22
1542997740,16.23
1543001340,16.23
1543004940,16.24
1543008541,16.25
1543012140,16.25
1543015740,16.22
1543019341,16.24
1543022940,16.24
1543026540,16.23
1543030141,16.22
1543033740,16.22
1543037340,16.24
1543040940,16.24
1543044540,16.23
1543048141,16.24
1543051740,16.25
1543055340,16.25
1543058940,16.23
1543062540,16.23
1543066140,16.27
1543069740,16.25
1543073340,16.25
1543076940,16.24
1543080540,16.26
1543084140,16.23
1543087740,16.24
1543091340,16.26
1543094941,16.25
1543098540,16.23
1543102140,16.24
1543105741,16.23
1543109340,16.26
1543112940,16.24
1543116540,16.25
1543120140,16.25
1543123740,16.24
1543127340,16.27
1543130940,16.26
1543134540,16.24
1543138140,16.24
1543141740,16.23
1543145340,16.23
1543148940,16.26
1543152540,16.24
