time,value
1542983355,2153365.195
1542986940,2185414.632
1542990540,2182538.068
1542994140,2177356.627
1542997740,2195327.550
1543001340,2179587.384
1543004940,2198498.039
1543008541,2203274.825
1543012140,2191141.125
1543015740,2201001.664
1543019341,2184610.440
1543022940,2195171.713
1543026540,2177500.003
1543030141,2172381.788
1543033740,2173924.788
1543037340,2175704.199
1543040940,2192002.297
1543044540,2176182.496
1543048141,2193999.379
1543051740,2181216.898
1543055340,2173126.168
1543058940,2196944.260
1543062540,2177330.561
1543066140,2196078.752
1543069740,2176367.430
1543073340,2180965.977
1543076940,2182886.151
1543080540,2183049.575
1543084140,2170510.115
1543087740,2185681.937
1543091340,2184523.271
1543094941,2181976.664
1543098540,2184922.036
1543102140,2201173.230
1543105741,2183277.877
1543109340,2174087.754
1543112940,2177112.777
1543116540,2181562.786
1543120140,2176630.760
1543123740,2184041.301
1543127340,2187392.812
1543130940,2177961.850
1543134540,2176701.183
1543138140,2179977.041
1543141740,2176997.498
1543145340,2182847.075
1543148940,2168298.548
1543152540,2192036.328
