time,value
1542981491,22.40
1542985080,22.12
1542988681,22.37
1542992280,22.27
1542995881,22.47
1542999480,22.43
1543003081,22.53
1543006680,22.30
1543010281,22.16
1543013880,22.23
1543017481,22.45
1543021080,22.44
1543024680,22.29
1543028280,22.26
1543031880,22.64
1543035481,20.32
1543039080,22.50
1543042681,22.30
1543046281,22.80
1543049880,22.77
1543053481,22.33
1543057080,22.34
1543060681,22.36
1543064281,22.06
1543067881,22.51
1543071481,22.15
1543075080,22.25
1543078681,22.37
1543082281,22.20
1543085881,22.43
1543089480,22.32
1543093080,22.10
1543096680,22.48
1543100280,22.38
1543103880,22.05
1543107481,22.07
1543111081,22.51
1543114681,22.29
1543118280,22.14
1543121881,22.40
1543125481,22.12
1543129081,22.82
1543132681,21.97
1543136281,22.29
1543139881,22.16
1543143480,22.00
1543147080,22.50
1543150681,21.99
